id,x_studio_structure_no,x_studio_basis,x_studio_tax_appicable,x_active,x_studio_amount,x_studio_sequence,x_studio_charge_group,x_studio_charge_name,x_studio_allocate_header_charges
import_rfq_charge_he_id_5693,5,Fixed Per Document,,1,0.0,10,Charges,Misc,1
import_rfq_charge_he_id_5694,6,Fixed Per Document,,1,0.0,10,Charges,Sup.Bank Charge,1
import_rfq_charge_he_id_5695,7,Fixed Per Document,,1,0.0,10,Charges,Pallet Charges,1
import_rfq_charge_he_id_5696,8,Fixed Per Document,,1,0.0,10,Charges,Document Charges,1
import_rfq_charge_he_id_5697,9,Fixed Per Document,,1,0.0,10,Charges,Other,1
import_rfq_charge_he_id_5698,10,Percentage,,1,0.0,10,Duty,CID,1
import_rfq_charge_he_id_5699,11,Percentage,,1,0.0,10,Duty,EIC,1
import_rfq_charge_he_id_5700,12,Percentage,,1,0.0,10,Duty,ESC,1
import_rfq_charge_he_id_5701,13,Percentage,,1,0.0,10,Duty,Excise,1
import_rfq_charge_he_id_5702,14,Percentage,,1,11550.0,10,Duty,PAL,1
import_rfq_charge_he_id_5703,15,Percentage,,1,0.0,10,Duty,RIDL,1
import_rfq_charge_he_id_5704,16,Percentage,,1,0.0,10,Duty,SRL,1
import_rfq_charge_he_id_5705,17,Percentage,,1,0.0,10,Duty,Surcharge,1
import_rfq_charge_he_id_5706,18,Percentage,,1,0.0,10,Taxes,NBT,1
import_rfq_charge_he_id_5707,19,Percentage,,1,0.0,10,Taxes,NBT-N,1
import_rfq_charge_he_id_5708,20,Percentage,,1,0.0,10,Taxes,VAT-on-Item,1
import_rfq_charge_he_id_5709,21,Percentage,,1,47817.0,10,Taxes,VAT-on-GL,1
import_rfq_charge_he_id_5710,22,Percentage,,1,6641.25,10,Taxes,SSCL,1
import_rfq_charge_he_id_5711,1,Fixed Per Document,,1,110.0,10,Charges,BankCharge,1
import_rfq_charge_he_id_5712,2,Fixed Per Document,,1,120.0,10,Charges,Clearing,1
import_rfq_charge_he_id_5713,3,Fixed Per Document,1,1,130.0,10,Charges,Freight & Ex work,1
import_rfq_charge_he_id_5714,4,Fixed Per Document,1,1,140.0,10,Charges,Insurance,1
import_rfq_charge_he_id_5715,5,Fixed Per Document,,1,150.0,10,Charges,Misc,1
import_rfq_charge_he_id_5716,6,Fixed Per Document,,1,0.0,10,Charges,Sup.Bank Charge,1
import_rfq_charge_he_id_5717,7,Fixed Per Document,,1,0.0,10,Charges,Pallet Charges,1
import_rfq_charge_he_id_5718,8,Fixed Per Document,,1,0.0,10,Charges,Document Charges,1
import_rfq_charge_he_id_5719,9,Fixed Per Document,,1,0.0,10,Charges,Other,1
import_rfq_charge_he_id_5720,10,Percentage,,1,0.0,10,Duty,CID,1
import_rfq_charge_he_id_5721,11,Percentage,,1,0.0,10,Duty,EIC,1
import_rfq_charge_he_id_5722,12,Percentage,,1,0.0,10,Duty,ESC,1
import_rfq_charge_he_id_5723,13,Percentage,,1,0.0,10,Duty,Excise,1
import_rfq_charge_he_id_5724,14,Percentage,,1,1746.0,10,Duty,PAL,1
import_rfq_charge_he_id_5725,15,Percentage,,1,0.0,10,Duty,RIDL,1
import_rfq_charge_he_id_5726,16,Percentage,,1,0.0,10,Duty,SRL,1
import_rfq_charge_he_id_5727,17,Percentage,,1,0.0,10,Duty,Surcharge,1
import_rfq_charge_he_id_5728,18,Percentage,,1,0.0,10,Taxes,NBT,1
import_rfq_charge_he_id_5729,19,Percentage,,1,0.0,10,Taxes,NBT-N,1
import_rfq_charge_he_id_5730,20,Percentage,,1,0.0,10,Taxes,VAT-on-Item,1
import_rfq_charge_he_id_5731,21,Percentage,,1,7228.44,10,Taxes,VAT-on-GL,1
import_rfq_charge_he_id_5732,22,Percentage,,1,1003.95,10,Taxes,SSCL,1
