id,x_studio_sequence,x_active,x_studio_normal_rate,x_studio_charge_name,x_studio_charge_group,x_studio_concessional_rate,x_studio_tariff_date_ids/id,x_studio_misc_charge_line_id/id,x_studio_charge_value,x_studio_company_id/id
tariff_rates_id_17146,10,1,18.0,VAT-on-GL,Taxes,0.0,Jinasena_MasterData_Purchase.tariff_date_id_744,,0.0,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
tariff_rates_id_17147,10,1,20.0,CID,Duty,0.0,Jinasena_MasterData_Purchase.tariff_date_id_745,,0.0,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
tariff_rates_id_17148,10,1,10.0,EIC,Duty,0.0,Jinasena_MasterData_Purchase.tariff_date_id_745,,0.0,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
tariff_rates_id_17149,10,1,0.0,ESC,Duty,0.0,Jinasena_MasterData_Purchase.tariff_date_id_745,,0.0,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
tariff_rates_id_17150,10,1,0.0,Excise,Duty,0.0,Jinasena_MasterData_Purchase.tariff_date_id_745,,0.0,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
tariff_rates_id_17151,10,1,7.5,PAL,Duty,0.0,Jinasena_MasterData_Purchase.tariff_date_id_745,,0.0,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
tariff_rates_id_17152,10,1,0.0,RIDL,Duty,0.0,Jinasena_MasterData_Purchase.tariff_date_id_745,,0.0,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
tariff_rates_id_17153,10,1,0.0,SRL,Duty,0.0,Jinasena_MasterData_Purchase.tariff_date_id_745,,0.0,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
tariff_rates_id_17154,10,1,0.0,Surcharge,Duty,0.0,Jinasena_MasterData_Purchase.tariff_date_id_745,,0.0,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
tariff_rates_id_17155,10,1,0.0,NBT,Taxes,0.0,Jinasena_MasterData_Purchase.tariff_date_id_745,,0.0,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
tariff_rates_id_17156,10,1,0.0,NBT-N,Taxes,0.0,Jinasena_MasterData_Purchase.tariff_date_id_745,,0.0,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
tariff_rates_id_17157,10,1,2.5,SSCL,Taxes,0.0,Jinasena_MasterData_Purchase.tariff_date_id_745,,0.0,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
tariff_rates_id_17158,10,1,18.0,VAT-on-Item,Taxes,0.0,Jinasena_MasterData_Purchase.tariff_date_id_745,,0.0,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
