id,x_name,x_active,x_studio_sequence,x_studio_cost_allocation_method,x_studio_company_id/id,x_studio_vendor_despatch_debit_account/id,x_studio_vendor_despatch_credit_account/id,x_studio_purch_packing_slip_offset_account/id,x_studio_import_tp_vend_non_billable_debit_acc/id,x_studio_import_tp_vendor_debit_acc/id,x_studio_import_tp_vendor_account/id,x_studio_import_tp_vend_acc_non_billable/id,x_studio_expense_account/id
imports_ledger_setup_imports_ledger_setup,Imports Ledger Setup,1,10,by_weight,seed_master_data_and_settings.company_jinasena_pvt_ltd,__export__.account_account_1032_c533eb3d,__export__.account_account_1161_f9f87fdd,account.1_cash_diff_expense,__export__.account_account_36_575ae1a5,__export__.account_account_40_1a659ad2,__export__.account_account_41_5e097114,__export__.account_account_36_575ae1a5,account.1_expense
imports_ledger_setup_imports_ledger_setup_2,Imports Ledger Setup,1,10,by_weight,seed_master_data_and_settings.company_jinasena_agricultural_machinery,,,,,,,,
