id,x_studio_tariff_code/id
Jinasena_MasterData_Stock.product_template_ball_bearing_6202_2rs,Jinasena_MasterData_Purchase.tariffmaster_8482_10_00
Jinasena_MasterData_Stock.product_template_ball_bearing_6203_2rs,Jinasena_MasterData_Purchase.tariffmaster_8482_10_00
