id,x_studio_tariff_master_ids/id
Jinasena_MasterData_Purchase.tariff_date_id_1203,Jinasena_MasterData_Purchase.tariffmaster_7318_16_00_1031
Jinasena_MasterData_Purchase.tariff_date_id_1204,Jinasena_MasterData_Purchase.tariffmaster_7318_19_00
Jinasena_MasterData_Purchase.tariff_date_id_1205,Jinasena_MasterData_Purchase.tariffmaster_7318_22_00
Jinasena_MasterData_Purchase.tariff_date_id_1206,Jinasena_MasterData_Purchase.tariffmaster_7318_23_00
Jinasena_MasterData_Purchase.tariff_date_id_1207,Jinasena_MasterData_Purchase.tariffmaster_7318_29_00
Jinasena_MasterData_Purchase.tariff_date_id_1208,Jinasena_MasterData_Purchase.tariffmaster_7319_40_00
Jinasena_MasterData_Purchase.tariff_date_id_1209,Jinasena_MasterData_Purchase.tariffmaster_7320_90_00
Jinasena_MasterData_Purchase.tariff_date_id_1210,Jinasena_MasterData_Purchase.tariffmaster_7326_90_90
Jinasena_MasterData_Purchase.tariff_date_id_1211,Jinasena_MasterData_Purchase.tariffmaster_7407_29_00
Jinasena_MasterData_Purchase.tariff_date_id_1212,Jinasena_MasterData_Purchase.tariffmaster_7412_20_00_1040
Jinasena_MasterData_Purchase.tariff_date_id_1213,Jinasena_MasterData_Purchase.tariffmaster_7415_33_90_1041
Jinasena_MasterData_Purchase.tariff_date_id_1214,Jinasena_MasterData_Purchase.tariffmaster_7415_39_00
Jinasena_MasterData_Purchase.tariff_date_id_1215,Jinasena_MasterData_Purchase.tariffmaster_7616_10_00
Jinasena_MasterData_Purchase.tariff_date_id_1216,Jinasena_MasterData_Purchase.tariffmaster_7616_99_90
Jinasena_MasterData_Purchase.tariff_date_id_1217,Jinasena_MasterData_Purchase.tariffmaster_8205_59_00
Jinasena_MasterData_Purchase.tariff_date_id_1218,Jinasena_MasterData_Purchase.tariffmaster_8207_19_00
Jinasena_MasterData_Purchase.tariff_date_id_1219,Jinasena_MasterData_Purchase.tariffmaster_8208_90_00
Jinasena_MasterData_Purchase.tariff_date_id_1220,Jinasena_MasterData_Purchase.tariffmaster_8302_30_00
Jinasena_MasterData_Purchase.tariff_date_id_1221,Jinasena_MasterData_Purchase.tariffmaster_8407_90_90
Jinasena_MasterData_Purchase.tariff_date_id_1222,Jinasena_MasterData_Purchase.tariffmaster_8408_90_90
Jinasena_MasterData_Purchase.tariff_date_id_1223,Jinasena_MasterData_Purchase.tariffmaster_8409_91_90
Jinasena_MasterData_Purchase.tariff_date_id_1224,Jinasena_MasterData_Purchase.tariffmaster_8409_99_00
Jinasena_MasterData_Purchase.tariff_date_id_1225,Jinasena_MasterData_Purchase.tariffmaster_8412_90_00
Jinasena_MasterData_Purchase.tariff_date_id_1226,Jinasena_MasterData_Purchase.tariffmaster_8413_30_00
Jinasena_MasterData_Purchase.tariff_date_id_1227,Jinasena_MasterData_Purchase.tariffmaster_8413_70_19_1055
Jinasena_MasterData_Purchase.tariff_date_id_1228,Jinasena_MasterData_Purchase.tariffmaster_8413_70_99
Jinasena_MasterData_Purchase.tariff_date_id_1229,Jinasena_MasterData_Purchase.tariffmaster_8413_91_10
Jinasena_MasterData_Purchase.tariff_date_id_1230,Jinasena_MasterData_Purchase.tariffmaster_8413_91_90_1058
Jinasena_MasterData_Purchase.tariff_date_id_1231,Jinasena_MasterData_Purchase.tariffmaster_8414_59_00
