id,x_studio_structure_details_line_ids/id,x_studio_structure_master_id/id
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12258,Jinasena_MasterData_Purchase.structure_details_id_850,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12259,Jinasena_MasterData_Purchase.structure_details_id_851,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12260,Jinasena_MasterData_Purchase.structure_details_id_852,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12261,Jinasena_MasterData_Purchase.structure_details_id_853,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12262,Jinasena_MasterData_Purchase.structure_details_id_854,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12263,Jinasena_MasterData_Purchase.structure_details_id_855,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12264,Jinasena_MasterData_Purchase.structure_details_id_856,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12265,Jinasena_MasterData_Purchase.structure_details_id_857,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12266,Jinasena_MasterData_Purchase.structure_details_id_858,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12267,Jinasena_MasterData_Purchase.structure_details_id_859,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12268,Jinasena_MasterData_Purchase.structure_details_id_860,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_li_id_12269,Jinasena_MasterData_Purchase.structure_details_id_839,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
